County,TotalPop,IncomePerCap,Poverty,Id,%Poverty,cases,deaths,TotalCases,TotalDeaths,TotalCasesper100k,TotalDeathsper100k
"Aitkin County, Minnesota",15841,161176,72.2,28,0.455779307,108658,3180,108658,3180,1.08658,0.0318
"Alachua County, Florida",259865,1457334,1457.3,29,0.56079118,2544160,19787,2544160,19787,25.4416,0.19787
"Alamance County, North Carolina",157844,929811,613.6,30,0.388738248,1550892,22242,1550892,22242,15.50892,0.22242
"Alameda County, California",1629615,15213192,4288.1,31,0.263135771,7863819,121293,7863819,121293,78.63819,1.21293
"Alamosa County, Colorado",16345,79924,95.9,32,0.586723769,131098,3495,131098,3495,1.31098,0.03495
"Albany County, New York",308580,2567364,1012.1,33,0.32798626,1754536,48933,1754536,48933,17.54536,0.48933
"Albany County, Wyoming",37944,246182,261.9,34,0.690227704,413820,1091,413820,1091,4.1382,0.01091
"Albemarle County, Virginia",105105,847967,326.3,35,0.310451453,455915,5983,455915,5983,4.55915,0.05983
"Alcona County, Michigan",10413,124434,71.4,36,0.68568136,37933,1746,37933,1746,0.37933,0.01746
"Alcorn County, Mississippi",37242,142672,138.4,37,0.371623436,307028,5380,307028,5380,3.07028,0.0538
"Aleutians East Borough, Alaska",3338,31254,16.7,38,0.500299581,,,,,,
"Aleutians West Census Area, Alaska",5784,69962,21.8,39,0.376901798,,,,,,
"Alexander County, Illinois",6776,75163,134.1,40,1.979043684,44393,661,44393,661,0.44393,0.00661
"Alexander County, North Carolina",37159,160128,98.1,41,0.264000646,331390,4257,331390,4257,3.3139,0.04257
"Alexandria city, Virginia",154710,2370811,340.7,42,0.220218473,,,,,,
"Alfalfa County, Oklahoma",5877,92986,35.4,43,0.602348137,87557,316,87557,316,0.87557,0.00316
"Alger County, Michigan",9254,65663,38.1,44,0.411713853,48500,271,48500,271,0.485,0.00271
"Allamakee County, Iowa",13940,137876,53.5,45,0.383787661,151684,3462,151684,3462,1.51684,0.03462
"Allegan County, Michigan",114145,663274,270.1,46,0.236628849,680430,8182,680430,8182,6.8043,0.08182
"Allegany County, Maryland",72591,529243,389.5,47,0.536567894,566345,17487,566345,17487,5.66345,0.17487
"Allegany County, New York",47400,276453,198.3,48,0.41835443,206839,7379,206839,7379,2.06839,0.07379
"Alleghany County, North Carolina",10935,64322,61.5,49,0.562414266,90284,274,90284,274,0.90284,0.00274
